Halaman,Judul,Tautan,Penulis,Tahun,Sitasi,Institusi
5005,Analisis Teknik Terjemahan Subtitle Film How Long Will I Love You,https://scholar.google.com/scholar?q=+intitle:'Analisis Teknik Terjemahan Subtitle Film How Long Will I Love You',"S Sarah, R Sofyan, VA Nasution
Longda Xiaokan: Journal of Mandarin Learning and Teaching 4 (1), 2021",2021,2,"Longda Xiaokan: Journal of Mandarin Learning and Teaching 4 (1), 2021"
5005,Exploration of sulfate reducing bacteria from polluted waters,https://scholar.google.com/scholar?q=+intitle:'Exploration of sulfate reducing bacteria from polluted waters',"SKPGA Budiarsa Suyasa W, Iryanti E. Suprihatin, Dwi Adi Suastuti G. A
African Journal of Microbiology Research 12 (21), 492-500, 2018",2018,1,"African Journal of Microbiology Research 12 (21), 492-500, 2018"
5005,Analisa RCM pada motor Diesel Penggerak Generator Daya 320 kVa Sumber Kelistrikan di Hotel Sapadia Rokan Hulu,https://scholar.google.com/scholar?q=+intitle:'Analisa RCM pada motor Diesel Penggerak Generator Daya 320 kVa Sumber Kelistrikan di Hotel Sapadia Rokan Hulu',"L Hakim
Jurnal Aptek 6 (2), 165-172",2014,2,"Jurnal Aptek 6 (2), 165-172"
5005,"Klasterisasi Daerah Penangkapan Perikanan Demersal di Perairan Utara Jawa, Lamongan","https://scholar.google.com/scholar?q=+intitle:'Klasterisasi Daerah Penangkapan Perikanan Demersal di Perairan Utara Jawa, Lamongan'","LI Harlyan, WD Putri, ES Yulianto
Prosiding Simposium Nasional Kelautan Dan Perikanan 10, 15-25, 2023",2023,3,"Prosiding Simposium Nasional Kelautan Dan Perikanan 10, 15-25, 2023"
5005,Pendampingan Usaha Menengah Kecil Masyarakat Melalui Digital Marketing untuk Menunjang Pemasaran Produk,https://scholar.google.com/scholar?q=+intitle:'Pendampingan Usaha Menengah Kecil Masyarakat Melalui Digital Marketing untuk Menunjang Pemasaran Produk',"M Fauziah, TZ A'za, S Hilmiyah, L Latifah, IF Syihab
Jurnal Pemberdayaan Masyarakat 1 (2), 41-51, 2022",2022,6,"Jurnal Pemberdayaan Masyarakat 1 (2), 41-51, 2022"
5005,"metodologi penelitian social, cet. IV: Jakarta PT","https://scholar.google.com/scholar?q=+intitle:'metodologi penelitian social, cet. IV: Jakarta PT'","H Usman, PS Akbar
Bumi Aksara, 2001",2001,40,"Bumi Aksara, 2001"
5005,Influence of Characteristics of Management Accounting Information Systems to Managerial Performance with Variables of Business Strategy Modernations and Uncertainty Duties in …,https://scholar.google.com/scholar?q=+intitle:'Influence of Characteristics of Management Accounting Information Systems to Managerial Performance with Variables of Business Strategy Modernations and Uncertainty Duties in …',"Azzumar, F Syam, Zuraida
International Journal of Academic Research in Business and Social Sciences 8 …, 2018",2018,11,"International Journal of Academic Research in Business and Social Sciences 8 …, 2018"
5005,IMPLEMENTASI PERATURAN DAERAH NOMOR 4 TAHUN 2020 TERKAIT PENGELOLAAN PASAR MRANGGEN DI KABUPATEN DEMAK,https://scholar.google.com/scholar?q=+intitle:'IMPLEMENTASI PERATURAN DAERAH NOMOR 4 TAHUN 2020 TERKAIT PENGELOLAAN PASAR MRANGGEN DI KABUPATEN DEMAK',"A Farkhaini, N Widowati, M Maesaroh
Journal of Public Policy and Management Review 12 (3), 331-346, 2023",2023,0,"Journal of Public Policy and Management Review 12 (3), 331-346, 2023"
5005,PENGARUH LINGKUNGAN KELUARGA TERHADAP PRESTASI BELAJAR SISWA KELAS X SMA ST. PETRUS KEWAPANTE KABUPATEN SIKKA,https://scholar.google.com/scholar?q=+intitle:'PENGARUH LINGKUNGAN KELUARGA TERHADAP PRESTASI BELAJAR SISWA KELAS X SMA ST. PETRUS KEWAPANTE KABUPATEN SIKKA',"YE Martin, A Kholiq, M Fitri
OIKOS 1 (1), 038–048-038–048",2017,0,"OIKOS 1 (1), 038–048-038–048"
5005,Investigation of a dual-bed autothermal reforming of methane for hydrogen production,https://scholar.google.com/scholar?q=+intitle:'Investigation of a dual-bed autothermal reforming of methane for hydrogen production',"A Arpornwichanop, M Wasuleewan, Y Patcharavorachot, ...
Chemical Engineering Transactions 25, 929-934",2011,12,"Chemical Engineering Transactions 25, 929-934"
